Company,Symbol,BalanceSheetURL,ProfitLossURL
Apar Industries Limited,APARINDS,https://www.moneycontrol.com/financials/aparindustrieslimited/balance-sheetVI/APARINDS#APARINDS,https://www.moneycontrol.com/financials/aparindustrieslimited/profit-lossVI/APARINDS#APARINDS
Anjani Portland Cement Limited,APCL,https://www.moneycontrol.com/financials/anjaniportlandcementlimited/balance-sheetVI/APCL#APCL,https://www.moneycontrol.com/financials/anjaniportlandcementlimited/profit-lossVI/APCL#APCL
Apcotex Industries Limited,APCOTEXIND,https://www.moneycontrol.com/financials/apcotexindustrieslimited/balance-sheetVI/APCOTEXIND#APCOTEXIND,https://www.moneycontrol.com/financials/apcotexindustrieslimited/profit-lossVI/APCOTEXIND#APCOTEXIND
Apex Frozen Foods Limited,APEX,https://www.moneycontrol.com/financials/apexfrozenfoodslimited/balance-sheetVI/APEX#APEX,https://www.moneycontrol.com/financials/apexfrozenfoodslimited/profit-lossVI/APEX#APEX
APL Apollo Tubes Limited,APLAPOLLO,https://www.moneycontrol.com/financials/aplapollotubeslimited/balance-sheetVI/APLAPOLLO#APLAPOLLO,https://www.moneycontrol.com/financials/aplapollotubeslimited/profit-lossVI/APLAPOLLO#APLAPOLLO
Alembic Pharmaceuticals Limited,APLLTD,https://www.moneycontrol.com/financials/alembicpharmaceuticalslimited/balance-sheetVI/APLLTD#APLLTD,https://www.moneycontrol.com/financials/alembicpharmaceuticalslimited/profit-lossVI/APLLTD#APLLTD
Apollo Micro Systems Limited,APOLLO,https://www.moneycontrol.com/financials/apollomicrosystemslimited/balance-sheetVI/APOLLO#APOLLO,https://www.moneycontrol.com/financials/apollomicrosystemslimited/profit-lossVI/APOLLO#APOLLO
Apollo Hospitals Enterprise Limited,APOLLOHOSP,https://www.moneycontrol.com/financials/apollohospitalsenterpriselimited/balance-sheetVI/APOLLOHOSP#APOLLOHOSP,https://www.moneycontrol.com/financials/apollohospitalsenterpriselimited/profit-lossVI/APOLLOHOSP#APOLLOHOSP
Apollo Pipes Limited,APOLLOPIPE,https://www.moneycontrol.com/financials/apollopipeslimited/balance-sheetVI/APOLLOPIPE#APOLLOPIPE,https://www.moneycontrol.com/financials/apollopipeslimited/profit-lossVI/APOLLOPIPE#APOLLOPIPE
Apollo Tyres Limited,APOLLOTYRE,https://www.moneycontrol.com/financials/apollotyreslimited/balance-sheetVI/APOLLOTYRE#APOLLOTYRE,https://www.moneycontrol.com/financials/apollotyreslimited/profit-lossVI/APOLLOTYRE#APOLLOTYRE
Apollo Sindoori Hotels Limited,APOLSINHOT,https://www.moneycontrol.com/financials/apollosindoorihotelslimited/balance-sheetVI/APOLSINHOT#APOLSINHOT,https://www.moneycontrol.com/financials/apollosindoorihotelslimited/profit-lossVI/APOLSINHOT#APOLSINHOT
Aptech Limited,APTECHT,https://www.moneycontrol.com/financials/aptechlimited/balance-sheetVI/APTECHT#APTECHT,https://www.moneycontrol.com/financials/aptechlimited/profit-lossVI/APTECHT#APTECHT
Archidply Industries Limited,ARCHIDPLY,https://www.moneycontrol.com/financials/archidplyindustrieslimited/balance-sheetVI/ARCHIDPLY#ARCHIDPLY,https://www.moneycontrol.com/financials/archidplyindustrieslimited/profit-lossVI/ARCHIDPLY#ARCHIDPLY
